id,morsel_id,project,agent_id,provider,tier,pid,prompt,dispatched_at,completed_at,status,exit_code,duration_s,retries,escalated_from_tier,session_name,input_tokens,output_tokens,cost_usd,failure_category,failure_summary,log_path,branch,backend,stage,pr_url,pr_number,workflow,labels,next_retry_at
1842,chum-d01d1a,chum,codex-medium,codex-spark,temporal,0,"","2026-02-25 02:47:16","2026-02-25 02:47:16",completed,0,0.0,0,"","",0,0,0.0,"","","","",temporal,dispatched,"",0,,"",
1873,chum-ae9843,chum,claude-rescue,claude-rescue,temporal,0,"","2026-02-26 01:12:06","2026-02-26 01:12:06",completed,0,484.265854833,0,"","",0,0,0.0,"","","","",temporal,dispatched,"",0,,"",
1875,chum-9cc1bc,chum,codex,codex,temporal,0,"","2026-02-26 01:23:02","2026-02-26 01:23:02",completed,0,541.2102614,0,"","",92995,12374,0.0,"","","","",temporal,dispatched,"",0,,"",
1878,chum-7bfead,chum,codex,codex,temporal,0,"","2026-02-26 01:45:50","2026-02-26 01:45:50",completed,0,588.252848908,0,"","",59117,6931,0.0,"","","","",temporal,dispatched,"",0,,"",
1881,chum-2a757e,chum,codex,codex,temporal,0,"","2026-02-26 01:52:11","2026-02-26 01:52:11",completed,0,1690.243172532,0,"","",0,0,0.0,"","","","",temporal,dispatched,"",0,,"",
1886,chum-9b2a9d,chum,codex,codex,temporal,0,"","2026-02-26 02:08:47","2026-02-26 02:08:47",completed,0,1965.677823132,0,"","",43414,7748,0.0,"","","","",temporal,dispatched,"",0,,"",
1891,chum-e1b4bb,chum,codex,codex,temporal,0,"","2026-02-26 02:31:20","2026-02-26 02:31:20",completed,0,2236.794804458,0,"","",159050,15670,0.0,"","","","",temporal,dispatched,"",0,,"",
1892,chum-2faae6,chum,codex,codex,temporal,0,"","2026-02-26 02:37:00","2026-02-26 02:37:01",completed,0,1618.493580873,0,"","",55499,12315,0.0,"","","","",temporal,dispatched,"",0,,"",
1895,chum-2c3d56,chum,codex,codex,temporal,0,"","2026-02-26 02:53:26","2026-02-26 02:53:26",completed,0,1283.44930488,0,"","",80853,6220,0.0,"","","","",temporal,dispatched,"",0,,"",
1896,chum-93414e,chum,codex,codex,temporal,0,"","2026-02-26 02:57:36","2026-02-26 02:57:36",escalated,1,1174.126918003,0,"","",58740,8304,0.0,test_failure,"Attempt 1 DoD failed: Command failed: GOFLAGS=-buildvcs=false golangci-lint run --timeout=5m --allow-parallel-runners --new-from-rev=HEAD~1 (exit 1); Triage rescope (attempt 1): The DoD command failed...","","",temporal,dispatched,"",0,,"",
1897,chum-82c942,chum,codex,codex,temporal,0,"","2026-02-26 03:00:36","2026-02-26 03:00:36",completed,0,1233.957130713,0,"","",70242,11242,0.0,"","","","",temporal,dispatched,"",0,,"",
1899,chum-434c4d,chum,codex,codex,temporal,0,"","2026-02-26 03:08:44","2026-02-26 03:08:44",completed,0,641.81084745,0,"","",55974,6597,0.0,"","","","",temporal,dispatched,"",0,,"",
1901,chum-zdt-3,chum,codex,codex,temporal,0,"","2026-02-26 03:24:32","2026-02-26 03:24:32",escalated,1,1830.281487058,0,"","",54110,6771,0.0,activity_timeout,"Attempt 1 execute error: activity error (type: ExecuteActivity, scheduledEventID: 50, startedEventID: 51, identity: ): activity Heartbeat timeout (type: Heartbeat); Attempt 2 DoD failed: Command faile...","","",temporal,dispatched,"",0,,"",
